factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
afx_bs_oth_assets,0.006769918501470263,0.6379984232491873,7.0,8.0,0.5631589200712729
afx_cf_n_depos_incr_fi,0.0067409783362716415,0.8279331617093396,7.0,8.0,0.14657916736360846
afx_is_oth_b_income,0.006711353999090607,0.6312782041472044,7.0,8.0,0.36747641689083765
afx_is_oper_exp,0.006681404258318899,0.6300748534544931,7.0,8.0,0.8786776687574619
afx_fi_interestdebt,-0.006675593437142104,-1.192187338514366,1.0,8.0,0.186673165088428
afx_is_n_oth_b_income,0.006494366414418156,0.65325768706397,7.0,8.0,0.41033716949113314
afx_is_n_oth_income,0.006488969251524433,0.6261325319763139,7.0,8.0,0.3964959400824742
afx_is_other_bus_cost,0.006463869964676532,0.6422818688816508,7.0,8.0,0.2451866236746863
afx_bs_undistr_porfit,0.006450634868881012,0.5261975124591728,4.0,8.0,0.5614907759388967
afx_is_n_commis_income,0.0064071471984643875,0.6633379295729809,7.0,8.0,0.5334218481092385
afx_cf_c_recp_cap_contrib,-0.006362411964707451,-0.9495796827205571,2.0,8.0,0.37843471104609266
afx_cf_im_net_cashflow_oper_act,0.0062832733678796,0.5347204667471067,5.0,8.0,0.43717404446972613
afx_cf_st_cash_out_act,-0.006270511140785557,-0.5338746594730172,3.0,8.0,0.30414102878340893
afx_cf_stot_cash_in_fnc_act,-0.006003843217590321,-1.0625397228349376,1.0,8.0,0.3558101043242526
afx_fi_retainedps,0.005849248760726629,0.344834534188398,5.0,8.0,0.15719334731205867
qf_cash_margin_floor_4q,0.0058124279756271505,0.5801760874189641,6.0,8.0,0.41030582126697457
afx_is_comm_exp,0.0056729377555454034,0.6942224816548447,7.0,8.0,0.3160235132946811
afx_is_comm_income,0.0056675704339470105,0.7033657337190409,7.0,8.0,0.16915839493990972
afx_bs_sold_for_repur_fa,0.005632370121028638,0.503892128148854,7.0,8.0,0.23299790620034116
afx_fi_invest_capital,-0.005593195123920823,-0.4675740010042552,2.0,8.0,0.33981976229679844
qf_core_roe_floor_4q,0.005591758062471631,0.31009331501466775,4.0,8.0,0.35692546900672156
afx_cf_n_recp_disp_sobu,-0.00552727977116075,-1.385214401968025,1.0,8.0,0.14704462812763705
afx_bs_loan_oth_bank,0.005489378086603523,0.5244967838212554,7.0,8.0,0.34010680107266217
afx_bs_oth_cur_liab,-0.005406406893627531,-1.21839225576098,0.0,8.0,0.2803077060554762
afx_cf_pay_handling_chrg,0.005225749461681844,0.5444304023012108,7.0,8.0,0.4375390245321463
afx_is_int_exp,0.005194744929666482,0.5317655302842694,7.0,8.0,0.46002687907858036
